e3:10.124r_1.lemma	scholion	θ
e3:10.124r_1.ref	scholion	urn:cts:greeklit:tlg0012.tlg001.e3:10.1
e3:10.124r_1.comment	scholion	οι γαρ φυλακες εξω νεων ησαν κοιμωμενοι⁑
e3:10.124r_2.lemma	scholion	ι
e3:10.124r_2.ref	scholion	urn:cts:greeklit:tlg0012.tlg001.e3:10.2
e3:10.124r_2.comment	scholion	τωι παντας μαλασσοντι: οθεν και πανδαματωρ καλειται⁑
e3:10.124v_1.ref	scholion	urn:cts:greeklit:tlg0012.tlg001.e3:10.3
e3:10.124v_1.comment	scholion	αγρυπνει ο στρατηγος: πρωτα μεν οτι : τα μεν γαρ αλλα της τυχης: του δε αμελειν η αιτια απαραιτητος τοις στρατηγοις: και οτι τους πρωην πολιορκουμενους. ορα πολιορκουντας: και οτι η εις urn:cite2:hmt:pers.v1:pers1 ελπις εξεκεκοπτο. ης μαλιστα την αιτιαν ειχεν: πολλων δε κατα την ποιησιν διηνυσμενων μετα μαχας ιππικας και πεζας: θεων τρωσεις μονομαχιας: δημηγοριας: εκκλησιας ανδρων και θεων: πρεσβειας: και μεχρι της ιδης καταγαγων τον urn:cite2:hmt:pers.v1:pers8 : και αστραπαις και κεραυνοις ποιησας λειπομενον το ελληνικον , επ' αλλο ειδος τρεπεται ο ποιητης. δια δολου και νυκτος αποπληρων. την μεθ' ημεραν ατυχιαν των αχαιων ⁑
e3:10.124v_2.lemma	scholion	β
e3:10.124v_2.ref	scholion	urn:cts:greeklit:tlg0012.tlg001.e3:10.4
e3:10.124v_2.comment	scholion	το πολυμερες και απεραντον της φροντιδος δια του πολλα ορμαιν εδηλωσεν⁑
e3:10.124v_3.lemma	scholion	γ
e3:10.124v_3.ref	scholion	urn:cts:greeklit:tlg0012.tlg001.e3:10.5
e3:10.124v_3.comment	scholion	προς το διαπυρως και οξεως. και μετα σκεμματος γινεσθαι τους στεναγμους: μεγαλοπρεπως δε τον της ελλαδος στρατηγον τον εικασε τω μεγιστω των θεων⁑
e3:10.124v_4.ref	scholion	urn:cts:greeklit:tlg0012.tlg001.e3:10.6
e3:10.124v_4.comment	scholion	το αθεσφατον. τω χαλαζαν συναπτεον: εις τρια δε διηρηκεν: εις ομβρον: εις χαλαζαν και νιφετον: χαλαζα μεν ουν ετι το παχυ υδωρ: νιφετος δε το λεπτομερεστερον: διο επαγει: επαλυνεν επεπασσε: πασπαλη γαρ η γυρις⁑
e3:10.124v_5.lemma	scholion	ε
e3:10.124v_5.ref	scholion	urn:cts:greeklit:tlg0012.tlg001.e3:10.8
e3:10.124v_5.comment	scholion	φθαρτικον γαρ ετι των το στομα, των δι' αυτου φερομενων σιτιων⁑
e3:10.124v_6.ref	scholion	urn:cts:greeklit:tlg0012.tlg001.e3:10.10
e3:10.124v_6.comment	scholion	εκ των εσωτατω λογισμων: ενδον γαρ εν τοις επιλογισμοις τα δεινα ορων, καθ' εαυτον στενει: εντευθεν κινηθεις φιλοτιμος. εν καρδια το ηγεμονικον εθετο: οθεν γαρ το χαιρειν, και το λυπεισθαι τας αρχας εχει. δηλον οτι ο νους εκειθεν ηρτηται⁑
e3:10.124v_7.ref	scholion	urn:cts:greeklit:tlg0012.tlg001.e3:10.11
e3:10.124v_7.comment	scholion	η οτι εφ' υψους η σκηνη η βασιλικη. η οτι οι τρωες : ενιοι δε το αθρησειεν. επι του νου ακουουσιν: αλλα προσεθηκεν αν το φρεσιν, ως το ⁑
e3:10.124v_8.lemma	scholion	η
